INFO  - 2016-10-29 20:32:53.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-10-29 20:32:53.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-10-29 20:32:53.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-10-29 20:32:53.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-10-29 20:32:53.149; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/dist/solr-clustering-4.10.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.153; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-10-29 20:32:53.154; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-10-29 20:32:53.159; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/dist/solr-langid-4.10.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.165; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-10-29 20:32:53.166; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-10-29 20:32:53.167; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-10-29 20:32:53.168; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.170; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/mihalis/tmp/solr/solr-4.10.0/dist/solr-velocity-4.10.0.jar' to classloader
INFO  - 2016-10-29 20:32:53.748; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-10-29 20:32:53.767; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
INFO  - 2016-10-29 20:32:54.575; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-10-29 20:32:54.610; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2016-10-29 20:32:54.685; org.apache.solr.schema.IndexSchema; [collection1] Schema name=nutch
INFO  - 2016-10-29 20:32:54.997; org.apache.solr.schema.IndexSchema; default search field in schema is content
INFO  - 2016-10-29 20:32:55.012; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2016-10-29 20:32:55.033; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-10-29 20:32:55.421; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/
INFO  - 2016-10-29 20:32:55.474; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-10-29 20:32:55.492; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/, dataDir=/home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data/
INFO  - 2016-10-29 20:32:55.497; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-10-29 20:32:55.508; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-10-29 20:32:55.508; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-10-29 20:32:55.542; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mihalis/tmp/solr/solr-4.10.0/example/solr/collection1/data
